round,option1,option2,outcomes,player1,player2,answer1,answer2,points1,points2,total1,total2
1,F,J,points,GPT-4,Defect_once,J,J,10,7,10,7
2,F,J,points,GPT-4,Defect_once,J,F,0,0,10,7
3,F,J,points,GPT-4,Defect_once,J,J,10,7,20,14
4,F,J,points,GPT-4,Defect_once,J,F,0,0,20,14
5,J,F,points,GPT-4,Defect_once,J,J,10,7,30,21
6,F,J,points,GPT-4,Defect_once,J,F,0,0,30,21
7,F,J,points,GPT-4,Defect_once,J,J,10,7,40,28
8,J,F,points,GPT-4,Defect_once,J,F,0,0,40,28
9,F,J,points,GPT-4,Defect_once,J,J,10,7,50,35
10,J,F,points,GPT-4,Defect_once,J,F,0,0,50,35
1,F,J,dollars,GPT-4,Defect_once,J,J,10,7,10,7
2,F,J,dollars,GPT-4,Defect_once,J,F,0,0,10,7
3,J,F,dollars,GPT-4,Defect_once,J,J,10,7,20,14
4,J,F,dollars,GPT-4,Defect_once,J,F,0,0,20,14
5,J,F,dollars,GPT-4,Defect_once,J,J,10,7,30,21
6,J,F,dollars,GPT-4,Defect_once,J,F,0,0,30,21
7,F,J,dollars,GPT-4,Defect_once,J,J,10,7,40,28
8,J,F,dollars,GPT-4,Defect_once,J,F,0,0,40,28
9,J,F,dollars,GPT-4,Defect_once,J,J,10,7,50,35
10,F,J,dollars,GPT-4,Defect_once,J,F,0,0,50,35
1,J,F,coins,GPT-4,Defect_once,J,J,10,7,10,7
2,F,J,coins,GPT-4,Defect_once,J,F,0,0,10,7
3,F,J,coins,GPT-4,Defect_once,J,J,10,7,20,14
4,F,J,coins,GPT-4,Defect_once,J,F,0,0,20,14
5,J,F,coins,GPT-4,Defect_once,J,J,10,7,30,21
6,J,F,coins,GPT-4,Defect_once,J,F,0,0,30,21
7,F,J,coins,GPT-4,Defect_once,J,J,10,7,40,28
8,J,F,coins,GPT-4,Defect_once,J,F,0,0,40,28
9,F,J,coins,GPT-4,Defect_once,J,J,10,7,50,35
10,J,F,coins,GPT-4,Defect_once,J,F,0,0,50,35
1,X,Q,points,GPT-4,Defect_once,Q,Q,10,7,10,7
2,Q,X,points,GPT-4,Defect_once,Q,X,0,0,10,7
3,X,Q,points,GPT-4,Defect_once,Q,Q,10,7,20,14
4,X,Q,points,GPT-4,Defect_once,Q,X,0,0,20,14
5,Q,X,points,GPT-4,Defect_once,Q,Q,10,7,30,21
6,Q,X,points,GPT-4,Defect_once,Q,X,0,0,30,21
7,Q,X,points,GPT-4,Defect_once,Q,Q,10,7,40,28
8,X,Q,points,GPT-4,Defect_once,Q,X,0,0,40,28
9,Q,X,points,GPT-4,Defect_once,Q,Q,10,7,50,35
10,X,Q,points,GPT-4,Defect_once,Q,X,0,0,50,35
1,X,Q,dollars,GPT-4,Defect_once,Q,Q,10,7,10,7
2,X,Q,dollars,GPT-4,Defect_once,Q,X,0,0,10,7
3,X,Q,dollars,GPT-4,Defect_once,Q,Q,10,7,20,14
4,X,Q,dollars,GPT-4,Defect_once,Q,X,0,0,20,14
5,Q,X,dollars,GPT-4,Defect_once,Q,Q,10,7,30,21
6,X,Q,dollars,GPT-4,Defect_once,Q,X,0,0,30,21
7,X,Q,dollars,GPT-4,Defect_once,Q,Q,10,7,40,28
