round,option1,option2,outcomes,player1,player2,answer1,answer2,points1,points2,total1,total2
1,F,J,credits,GPT-4,Defect_once,J,F,0,10,0,10
2,F,J,credits,GPT-4,Defect_once,F,J,10,0,10,10
3,F,J,credits,GPT-4,Defect_once,F,J,10,0,20,10
4,J,F,credits,GPT-4,Defect_once,F,J,10,0,30,10
5,F,J,credits,GPT-4,Defect_once,F,J,10,0,40,10
6,F,J,credits,GPT-4,Defect_once,F,J,10,0,50,10
7,F,J,credits,GPT-4,Defect_once,F,J,10,0,60,10
8,F,J,credits,GPT-4,Defect_once,F,J,10,0,70,10
9,J,F,credits,GPT-4,Defect_once,F,J,10,0,80,10
10,J,F,credits,GPT-4,Defect_once,F,J,10,0,90,10
1,J,F,reputation points,GPT-4,Defect_once,J,F,0,10,0,10
2,F,J,reputation points,GPT-4,Defect_once,F,J,10,0,10,10
3,F,J,reputation points,GPT-4,Defect_once,F,J,10,0,20,10
4,F,J,reputation points,GPT-4,Defect_once,F,J,10,0,30,10
5,F,J,reputation points,GPT-4,Defect_once,F,J,10,0,40,10
6,J,F,reputation points,GPT-4,Defect_once,F,J,10,0,50,10
7,F,J,reputation points,GPT-4,Defect_once,F,J,10,0,60,10
8,J,F,reputation points,GPT-4,Defect_once,F,J,10,0,70,10
9,F,J,reputation points,GPT-4,Defect_once,F,J,10,0,80,10
10,F,J,reputation points,GPT-4,Defect_once,F,J,10,0,90,10
1,J,F,bonus rewards,GPT-4,Defect_once,J,F,0,10,0,10
2,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,10,10
3,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,20,10
4,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,30,10
5,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,40,10
6,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,50,10
7,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,60,10
8,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,70,10
9,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,80,10
10,J,F,bonus rewards,GPT-4,Defect_once,F,J,10,0,90,10
1,X,Q,credits,GPT-4,Defect_once,Q,X,0,10,0,10
2,Q,X,credits,GPT-4,Defect_once,X,Q,10,0,10,10
3,Q,X,credits,GPT-4,Defect_once,X,Q,10,0,20,10
4,X,Q,credits,GPT-4,Defect_once,X,Q,10,0,30,10
5,X,Q,credits,GPT-4,Defect_once,X,Q,10,0,40,10
6,X,Q,credits,GPT-4,Defect_once,X,Q,10,0,50,10
